Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
North Macedonia,Europe,342615,16445.152,367,17.616,96,9531,457.478,7,0.336,4
Kenya,Africa,338390,629.313,43,0.08,0,5675,10.554,0,0,0
Zambia,Africa,333387,1813.467,0,0,0,4017,21.851,0,0,0
Albania,Europe,330841,11496.317,386,13.413,11,3589,124.713,0,0,0
Botswana,Africa,326288,13874.99,0,0,0,2781,118.259,0,0,0
Luxembourg,Europe,290464,46391.996,1300,207.632,13,1127,180.001,0,0,0
Montenegro,Europe,279486,44499.747,978,155.717,88,2781,442.791,2,0.318,0
Kosovo[1],Europe,272002,15147.695,44,2.45,1,3189,177.594,0,0,0
Algeria,Africa,270643,617.187,34,0.078,0,6879,15.687,0,0,0
Nigeria,Africa,265186,128.644,178,0.086,0,3155,1.531,0,0,0
Mauritius,Africa,261976,20599.355,0,0,0,1026,80.675,0,0,0
Zimbabwe,Africa,257342,1731.436,186,1.251,0,5599,37.671,1,0.007,0
Uzbekistan,Europe,244173,729.545,101,0.302,13,1637,4.891,0,0,0
Mozambique,Africa,230219,736.573,0,0,0,2222,7.109,0,0,0
Brunei Darussalam,Western Pacific,226237,51713.797,0,0,0,131,29.944,0,0,0
Martinique,Americas,220192,58676.402,663,176.675,0,1042,277.67,6,1.599,0
Lao People's Democratic Republic,Western Pacific,215714,2964.913,266,3.656,0,757,10.405,0,0,0
Kyrgyzstan,Europe,206083,3158.752,85,1.303,0,2991,45.845,0,0,0
Iceland,Europe,205454,56422.636,35,9.612,0,213,58.495,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4229,65.2,1,0.015,0
Afghanistan,Eastern Mediterranean,198583,510.124,1107,2.844,128,7798,20.032,2,0.005,1
Guadeloupe,Americas,192801,48185.313,804,200.938,0,989,247.173,3,0.75,0
Maldives,South-East Asia,185042,34232.551,38,7.03,0,308,56.98,0,0,0
Trinidad and Tobago,Americas,182597,13047.414,350,25.009,0,4195,299.752,4,0.286,0
Uganda,Africa,169051,369.583,0,0,0,3630,7.936,0,0,0
Ghana,Africa,168813,543.28,0,0,0,1459,4.695,0,0,0
Namibia,Africa,166766,6563.252,4,0.157,0,4080,160.573,0,0,0
Jamaica,Americas,151706,5123.183,366,12.36,56,3311,111.814,15,0.507,1
Cambodia,Western Pacific,137840,824.453,69,0.413,0,3056,18.279,0,0,0
Rwanda,Africa,132488,1022.898,0,0,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114583,22267.978,140,27.207,0,804,156.249,0,0,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
Barbados,Americas,102436,35645.411,243,84.559,0,559,194.519,0,0,0
French Guiana,Americas,93974,31462.894,49,16.405,0,410,137.27,0,0,0
Democratic Republic of the Congo,Africa,92851,103.673,0,0,0,1442,1.61,0,0,0
Senegal,Africa,88339,527.588,40,0.239,0,1968,11.754,0,0,0
Malawi,Africa,87981,459.912,0,0,0,2680,14.009,0,0,0
Côte d’Ivoire,Africa,87129,330.306,93,0.353,0,823,3.12,1,0.004,0
Suriname,Americas,81099,13824.51,21,3.58,0,1385,236.093,1,0.17,0
French Polynesia,Western Pacific,76588,27264.442,0,0,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74275,26015.944,57,19.965,0,314,109.983,0,0,0
Eswatini,Africa,73390,6325.83,11,0.948,0,1422,122.569,0,0,0
Guyana,Americas,71315,9066.788,59,7.501,3,1281,162.863,0,0,0
Belize,Americas,68784,17298.581,80,20.119,0,683,171.769,3,0.754,0
Fiji,Western Pacific,68234,7611.621,11,1.227,0,878,97.942,0,0,0
Madagascar,Africa,66676,240.786,16,0.058,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63280,144.313,0,0,0,4961,11.314,0,0,0
Mauritania,Africa,62791,1350.443,7,0.151,0,994,21.378,0,0,0
Cabo Verde,Africa,62359,11215.91,3,0.54,0,410,73.743,0,0,0
Bhutan,South-East Asia,61969,8031.151,159,20.606,0,21,2.722,0,0,0
Jersey,Europe,59874,55543.805,171,158.633,0,138,128.02,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57280,327.302,53,0.303,8,3163,18.074,0,0,0
Burundi,Africa,50129,421.579,78,0.656,0,15,0.126,0,0,0
Guam,Western Pacific,48842,28939.12,0,0,0,401,237.594,0,0,0
Gabon,Africa,48691,2187.638,9,0.404,0,306,13.748,0,0,0
Seychelles,Africa,46358,47137.178,0,0,0,169,171.841,0,0,0
Andorra,Europe,46147,59725.62,0,0,0,155,200.608,0,0,0
Curaçao,Americas,45357,27641.033,12,7.313,0,287,174.901,0,0,0
Papua New Guinea,Western Pacific,44981,502.748,32,0.358,0,664,7.421,0,0,0
Aruba,Americas,42970,40246.895,0,0,0,228,213.551,0,0,0
Mayotte,Africa,40243,14751.022,39,14.295,0,187,68.545,0,0,0
United Republic of Tanzania,Africa,39341,65.86,0,0,0,845,1.415,0,0,0
Togo,Africa,38977,470.809,173,2.09,0,284,3.43,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guinea,Africa,37652,286.702,0,0,0,449,3.419,0,0,0
Bahamas,Americas,37258,9474.525,46,11.698,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33702,295.566,0,0,0,857,7.516,0,0,0
Mali,Africa,32604,161.001,72,0.356,0,741,3.659,1,0.005,0
Guernsey,Europe,31099,48239.437,107,165.974,0,62,96.172,0,0,0
Cayman Islands,Americas,30545,46477.48,0,0,0,31,47.17,0,0,0
Saint Lucia,Americas,29408,16015.074,449,244.517,0,393,214.021,0,0,0
Benin,Africa,27638,227.976,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27207,171.186,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23253,1763.669,8,0.607,0,138,10.467,0,0,0
United States Virgin Islands,Americas,23120,22140.292,71,67.991,0,123,117.788,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,20671,60908.127,77,226.884,0,118,347.693,0,0,0
Gibraltar,Europe,20069,59567.837,0,0,0,108,320.56,0,0,0
Grenada,Americas,19536,17361.784,63,55.989,0,237,210.624,1,0.889,0
Liechtenstein,Europe,19458,50218.081,0,0,0,85,219.372,0,0,0
Bermuda,Americas,18122,29100.894,45,72.262,0,148,237.663,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16913,1205.501,4,0.285,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15925,8026.147,0,0,0,29,14.616,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15275,25804.98,51,86.157,0,17,28.719,0,0,0
Nicaragua,Americas,15045,227.11,24,0.362,0,245,3.698,0,0,0
Central African Republic,Africa,14912,308.752,0,0,0,113,2.34,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Monaco,Europe,14572,37131.791,51,129.956,9,63,160.534,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13166,22874.715,10,17.374,0,40,69.496,0,0,0
Gambia,Africa,12442,514.841,27,1.117,0,372,15.393,0,0,0
Saint Martin,Americas,11978,30983.73,37,95.709,0,46,118.989,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Vanuatu,Western Pacific,11950,3890.671,0,0,0,14,4.558,0,0,0
Yemen,Eastern Mediterranean,11935,40.015,3,0.01,0,2157,7.232,2,0.007,0
Sint Maarten,Americas,10855,25313.651,0,0,0,87,202.882,0,0,0
Eritrea,Africa,10168,286.712,4,0.113,0,103,2.904,0,0,0
Micronesia (Federated States of),Western Pacific,10083,8766.073,36,31.298,0,31,26.951,0,0,0
Saint Vincent and the Grenadines,Americas,9448,8516.315,0,0,0,116,104.561,0,0,0
Niger,Africa,9405,38.853,8,0.033,0,313,1.293,0,0,0
Bonaire,Americas,9401,44948.601,15,71.719,0,31,148.219,0,0,0
Antigua and Barbuda,Americas,9089,9281.214,81,82.713,0,146,149.088,1,1.021,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Comoros,Africa,8471,974.125,0,0,0,160,18.399,0,0,0
American Samoa,Western Pacific,8244,14935.594,0,0,0,34,61.598,0,0,0
Liberia,Africa,7961,157.404,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7751,97.167,1,0.013,0,125,1.567,0,0,0
Chad,Africa,7571,46.092,0,0,0,193,1.175,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6543,12300.722,2,3.76,0,46,86.479,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6209,2833.103,0,0,0,77,35.134,0,0,0
Palau,Western Pacific,5460,30179.085,0,0,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5285,53464.846,22,222.559,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3858,25716.571,2,13.332,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3188,55012.942,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1886,54148.722,0,0,0,0,0,0,0,0
Saint Helena,Africa,1521,25053.533,1333,21956.844,0,0,0,0,0,0
Montserrat,Americas,1392,27845.569,36,720.144,0,8,160.032,0,0,0
Sint Eustatius,Americas,1196,38101.306,2,63.715,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,726,37558.2,0,0,0,2,103.466,0,0,0
Niue,Western Pacific,80,4944.376,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
