COUNTRY,ISO3,REGION
Singapore,SGP,Western Pacific
Sint Eustatius,XBA,Americas
Sint Maarten,SXM,Americas
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Western Pacific
Somalia,SOM,Eastern Mediterranean
South Africa,ZAF,Africa
South Sudan,SSD,Africa
Spain,ESP,Europe
Sri Lanka,LKA,South-East Asia
Sudan,SDN,Eastern Mediterranean
Suriname,SUR,Americas
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syrian Arab Republic,SYR,Eastern Mediterranean
Tajikistan,TJK,Europe
Thailand,THA,South-East Asia
The United Kingdom,GBR,Europe
Timor-Leste,TLS,South-East Asia
Togo,TGO,Africa
Tokelau,TKL,Western Pacific
Tonga,TON,Western Pacific
Trinidad and Tobago,TTO,Americas
Tunisia,TUN,Eastern Mediterranean
Turkey,TUR,Europe
Turkmenistan,TKM,Europe
Turks and Caicos Islands,TCA,Americas
Tuvalu,TUV,Western Pacific
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Eastern Mediterranean
United Republic of Tanzania,TZA,Africa
United States of America,USA,Americas
Uruguay,URY,Americas
Uzbekistan,UZB,Europe
Vanuatu,VUT,Western Pacific
Venezuela (Bolivarian Republic of),VEN,Americas
Viet Nam,VNM,Western Pacific
Wallis and Futuna,WLF,Western Pacific
Yemen,YEM,Eastern Mediterranean
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
